Continent,country,Energy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Consumption
Africa,        Gabon,Natural Gas,0.7669275,0.6442191,0.613542,1.6258863,1.6258863,0.613542,0.306771,1.2577611,1.0736985,0.9816672,0.920313,1.088605168,1.083361933,1.083361933,1.08290163,1.08290163,1.083361933,1.083361933,1.083361933,1.083361933,0.866689312,0.866689312,0.975025476,0.975025476,1.083361933,1.083361933,1.083361933,0.866689312,0.866689312,0.866689312,0.866689312,0.758353148,4.1709429,3.445090484,4.550119474,4.095107468,4.105941143,5.275637577,5.740704757,5.026756052,5.438429842,4.918420767,78.11057026
Africa,"        Gambia, The",Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Ghana,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.300034261,8.991902784,4.333447146,6.500170719,7.041851539,13.80150745,8.065328081,13.34509901,19.10762758,23.21679465,35.1040285,37.13219589,177.9399876
Africa,        Guinea,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Guinea-Bissau,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Kenya,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Lesotho,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Liberia,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Libya,Natural Gas,55.21878,33.74481,26.995848,34.358352,37.426062,43.868253,51.537528,49.390131,48.163047,50.617215,53.68380691,53.73094065,53.378154,51.5680211,53.19102369,52.54373688,56.55148523,59.04321729,59.04321729,45.93453969,56.3348129,58.39320031,60.45158772,51.45968493,64.24335404,63.15999211,50.86383574,57.63484716,59.5848984,65.11004335,74.14528055,58.88071305,62.07663047,76.91868699,64.35169021,48.64294408,55.09910063,72.63988581,72.36900379,83.0898398,71.41524045,74.66257937,2371.516021
Africa,        Madagascar,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Malawi,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Mali,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Mauritania,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Mauritius,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Morocco,Natural Gas,0.7669275,0.9816672,0.920313,0.9816672,0.613542,0.920313,0.920313,0.6442191,0.6442191,0.6442191,0.613542,0.42155668,0.259932313,0.324870489,0.32517726,0.21780741,0.21780741,0.54168082,0.54168082,0.433344656,0.54168082,0.54168082,0.54168082,0.54168082,0.433344656,4.896223966,6.188109311,7.021497415,6.171126738,6.171126738,6.281325503,8.81589534,13.78585627,13.36710126,13.00344577,13.41118076,13.63157624,13.52137865,12.22630957,11.58902431,9.053021705,9.113814517,182.7828821
Africa,        Mozambique,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650016984,0.650016984,0.650016984,0.650016984,0.650016984,0.866689312,0.758353148,1.408370425,1.625042753,2.166723573,2.063664632,1.719720429,0.917184346,5.96169737,14.78959575,17.8850924,20.63664515,21.72580145,20.36150145,21.0035251,13.75896415,16.02319314,15.16483323,15.5193518,197.6060345
Africa,        Namibia,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Niger,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380815323,0.406979637,0.406979637,0,1.194774597
Africa,        Nigeria,Natural Gas,11.657298,23.314596,15.33855,24.848451,29.756787,33.131268,35.585436,40.187001,40.800543,50.923986,40.18673935,51.537528,53.08472769,54.70978567,49.29196428,56.22498888,59.15155346,63.37666444,63.91834555,67.27676693,72.91024833,67.27676693,68.90180968,92.19408816,100.9693186,112.2362811,118.3031072,114.8363494,132.9826592,45.06785038,54.49309782,166.328535,167.9210771,179.4047119,204.7662112,203.8886882,200.3136244,186.912553,200.7663313,203.5360914,205.0545856,238.484609,4001.851575
Africa,        Reunion,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Rwanda,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322360065,0.530905159,0.623268135,0.607331572,0.610469602,2.694334533
Africa,        Saint Helena,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Sao Tome and Principe,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Senegal,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186044452,0.37140387,0.46623039,0.558133063,0.372088611,0.372088611,0.372088611,0.465110837,0.465110837,0.465110837,0.465110837,0.465110837,0.465110837,0.465110837,0.465110837,0.465110837,0.465110837,0.465110837,0.372088611,0.297671006,0.558133063,0.558133063,0.576737391,0.558133356,0.558133356,0.558133356,0.558133356,0.594202242,0.590267545,13.59406316
Africa,        Seychelles,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Sierra Leone,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Somalia,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        South Africa,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,13.65035842,19.44682723,21.23376831,21.23468862,19.94313554,18.95883134,15.70874583,15.16706501,17.8754694,22.75059766,24.91732124,24.70064862,33.80088786,42.68445448,45.50119503,43.00946297,44.63450572,38.89268815,43.44280762,49.61796985,50.91800411,53.08472769,51.45968493,53.08472769,54.00557717,54.95892738,56.83679925,57.38307343,56.24740778,60.01838634,1125.168745
