country,year,population,solar_electricity,public_investment_usd_million,re_capacity_share_pct,solar_electricity_twh,solar_electricity_twh_unified
Tunisia,2024,12277103,0.49,40.27,15.17,0.49,0.49
Turkey,2024,87473800,25.67,0,59.32,25.67,25.67
Turkmenistan,2024,7494494,0.007,0,0.03,0.007,0.007
Ukraine,2024,37860221,5.71,4.44,35.35,5.71,5.71
United Arab Emirates,2024,11027135,15.209,0,14.26,15.209,15.209
United Kingdom,2024,69138185,15.56,0,55.97,15.56,15.56
United States,2024,345426566,303.17,0,33.47,303.17,303.17
Uruguay,2024,3386583,0.53,0,77.82,0.53,0.53
Uzbekistan,2024,36361859,4.311,569.39,24.39,4.311,4.311
Venezuela,2024,28405544,0.002,0,47.53,0.002,0.002
Vietnam,2024,100987685,26.02,0,57.92,26.02,26.02
Yemen,2024,40583173,0,0,18.78,0,0
Zambia,2024,21314962,0,19.17,86.64,0,0
Zimbabwe,2024,16634366,0,0.09,40.97,0,0
