"Heat generation (TJ) by Country/area, Technology, Grid connection and Year",,,,
,,,,
"Heat generation (TJ) is the total heat produced by the installation and includes the heat used by the installation's auxiliaries that use a hot fluid (liquid fuel heating, etc.) and losses in the installation/network heat exchanges, as well as heat from chemical processes used as a primary energy form. For autoproducers, the production of heat covers only the heat sold to third parties; thus, gross heat production for autoproducers is equal to net heat production. This heat is not to be confused with heat consumption. Producer type CHP is short for Combined Heat and Power producer.",,,,
,,,,
Latest update:,,,,
20250723 08:00,,,,
,,,,
Source:,,,,
"IRENA (2025), Renewable energy statistics 2025, International Renewable Energy Agency (IRENA), Abu Dhabi",,,,
,,,,
,,,,
,,,,
Units:,,,,
TJ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Database:,,,,
IRENA Renewable Energy Statistics database,,,,
,,,,
Internal reference code:,,,,
HEATGEN,,,,
