Continent,country,Energy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Production
Africa,        Guinea-Bissau,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Kenya,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Lesotho,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Liberia,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Libya,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Madagascar,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Malawi,Coal,0,0,0,0.073084624,0.080392911,0.20829071,0.226561866,0.234327049,0.33618851,0.387347688,0.366335742,0.372730529,0.380039109,0.380039109,0.372730529,0.358113663,0.387347395,0.401964555,0.416581421,0.462186044,0.575174493,0.352997833,0.459701103,0.594907482,0.378577275,0.379308192,0.441429947,0.428274914,0.44289178,0.431198287,0.57736695,0.562750083,0.518899485,0.489665752,0.465547849,0.429736454,0.316455521,0.438506574,0.363960409,0.354240157,0.344520197,0.375306907,15.1656791
Africa,        Mali,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Mauritania,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Mauritius,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Morocco,Coal,5.043308869,5.213891435,5.451223624,5.569889719,6.215136662,5.747888714,5.747888714,4.702144031,4.716977183,3.73798183,3.901147673,4.086563684,4.271979402,4.479644994,4.820810125,4.820810125,3.752815275,2.788653074,1.995073732,0.956745478,0.229915466,0.216936568,0.203957377,0.190978186,0.177998995,0.088999498,0.050680302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.18004074
Africa,        Mozambique,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16860786,0.160177409,0.151746957,0.177038019,0.202332597,0.242486411,0.253407665,0.26762156,0.261653189,0.258227201,0.232294609,0.200920879,0.305021395,0.456436889,0.586874726,5.02209236,36.42481219,48.36322789,50.76091328,53.02537432,58.12493358,112.5954413,118.4363842,81.11309263,54.84779524,78.47798567,701.1169
Africa,        Namibia,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Niger,Coal,0.118653199,0.177979653,0.266969772,0.77124565,0.889898849,0.895831465,0.735649661,0.972956059,0.919562222,1.014484664,0.913147799,0.92870923,0.792157366,0.92733268,0.928299811,1.01431146,1.079873271,0.966073017,1.075073663,0.999450173,0.938545538,0.968802085,1.085082004,1.120677993,1.403570551,1.080098641,1.04604508,1.016263306,1.085082004,1.132543225,1.409598122,1.565626831,1.488502237,1.4351084,1.622016723,1.450052918,1.577926686,1.551295122,1.491373737,1.504689665,1.644506036,1.651163707,45.65623028
Africa,        Nigeria,Coal,0.892562562,0.875083574,0.857604587,0.840125306,0.822646318,0.80516733,0.787688342,0.883826732,0.6185934,0.633681229,0.678944132,0.58025662,0.533493198,0.211226979,0.188595527,0.16634829,0.128245087,0.105805597,0.090525806,0.059460093,0.020954505,0.173507991,0.172423632,0.173507991,0.233841725,0.282584835,0.228046559,0.173507991,0.206021762,0.290527618,0.30636981,0.295818997,0.280124805,0.331928151,0.343243877,0.354559603,0.347015981,0.386583362,0.364110168,0.411990772,0.333317303,0.368006827,16.83786149
Africa,        Reunion,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Rwanda,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Saint Helena,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Sao Tome and Principe,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Senegal,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Seychelles,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Sierra Leone,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Somalia,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
